system:time_start,waterArea
"Apr 9, 2013",56.602
"Apr 9, 2013",89.735
"Apr 16, 2013",90.624
"Apr 16, 2013",89.292
"Jun 3, 2013",89.311
"Jun 3, 2013",90.849
"Jun 19, 2013",83.205
"Jun 19, 2013",81.748
"Jul 5, 2013",79.225
"Jul 5, 2013",79.262
"Jul 21, 2013",75.106
"Jul 21, 2013",75.116
"Aug 6, 2013",70.529
"Aug 6, 2013",70.519
"Aug 22, 2013",40.421
"Aug 22, 2013",40.396
"Sep 7, 2013",62.519
"Sep 7, 2013",62.488
"Sep 23, 2013",62.084
"Sep 23, 2013",62.062
"Oct 9, 2013",6.571
"Oct 9, 2013",6.573
"Oct 25, 2013",67.151
"Oct 25, 2013",67.178
"Nov 10, 2013",76.646
"Nov 10, 2013",76.587
"Nov 26, 2013",61.421
"Nov 26, 2013",61.453
"Dec 12, 2013",108.751
"Dec 12, 2013",108.635
"Dec 28, 2013",105.435
"Dec 28, 2013",105.312
"Jan 13, 2014",100.815
"Jan 13, 2014",100.768
"Feb 14, 2014",9.065
"Feb 14, 2014",9.074
"Mar 18, 2014",61.28
"Mar 18, 2014",61.294
"Apr 3, 2014",0
"Apr 3, 2014",0
"Apr 19, 2014",63.142
"Apr 19, 2014",63.116
"May 5, 2014",34.591
"May 5, 2014",34.605
"May 21, 2014",60.525
"May 21, 2014",60.511
"Jun 6, 2014",60.11
"Jun 6, 2014",60.123
"Jun 22, 2014",57.991
"Jun 22, 2014",58.012
"Jul 8, 2014",9.216
"Jul 8, 2014",9.199
"Jul 24, 2014",51.212
"Jul 24, 2014",51.195
"Aug 9, 2014",48.154
"Aug 9, 2014",48.161
"Aug 25, 2014",45.025
"Aug 25, 2014",45.025
"Sep 10, 2014",45.135
"Sep 10, 2014",45.112
"Sep 26, 2014",33.05
"Sep 26, 2014",33.061
"Oct 12, 2014",48.479
"Oct 12, 2014",48.507
"Oct 28, 2014",55.811
"Oct 28, 2014",55.855
"Dec 31, 2014",116.145
"Dec 31, 2014",116.072
"Feb 1, 2015",0
"Feb 1, 2015",0
"Feb 17, 2015",70.451
"Feb 17, 2015",70.446
"Mar 5, 2015",66.982
"Mar 5, 2015",66.992
"Mar 21, 2015",44.403
"Mar 21, 2015",44.403
"Apr 6, 2015",34.306
"Apr 6, 2015",34.306
"Apr 22, 2015",61.949
"Apr 22, 2015",61.923
"May 8, 2015",60.556
"May 8, 2015",60.549
"May 24, 2015",57.929
"May 24, 2015",57.918
"Jun 9, 2015",5.315
"Jun 9, 2015",5.307
"Jun 25, 2015",53.969
"Jun 25, 2015",53.925
"Jul 11, 2015",51.096
"Jul 11, 2015",51.117
"Jul 27, 2015",47.835
"Jul 27, 2015",47.847
"Aug 12, 2015",45.32
"Aug 12, 2015",45.318
"Aug 28, 2015",0.028
"Aug 28, 2015",0.028
"Sep 13, 2015",2.619
"Sep 13, 2015",2.569
"Sep 29, 2015",45.406
"Sep 29, 2015",45.388
"Oct 15, 2015",48.039
"Oct 15, 2015",48.093
"Oct 31, 2015",56.941
"Oct 31, 2015",56.881
"Nov 16, 2015",72.62
"Nov 16, 2015",72.638
"Dec 2, 2015",9.158
"Dec 2, 2015",9.117
"Dec 18, 2015",0
"Dec 18, 2015",0
"Jan 3, 2016",0.001
"Feb 4, 2016",0.001
"Feb 4, 2016",0.001
"Feb 20, 2016",64.702
"Feb 20, 2016",64.656
"Mar 7, 2016",0
"Mar 7, 2016",0
"Mar 23, 2016",88.385
"Mar 23, 2016",88.375
"Apr 8, 2016",89.378
"Apr 8, 2016",89.34
"Apr 24, 2016",94.465
"Apr 24, 2016",94.503
"May 10, 2016",94.234
"May 10, 2016",94.23
"May 26, 2016",92.719
"May 26, 2016",92.749
"Jun 11, 2016",54.815
"Jun 11, 2016",54.805
"Jun 27, 2016",89.23
"Jun 27, 2016",89.239
"Jul 13, 2016",83.13
"Jul 13, 2016",83.186
"Jul 29, 2016",77.04
"Jul 29, 2016",77.037
"Aug 14, 2016",70.594
"Aug 14, 2016",70.591
"Aug 30, 2016",66.03
"Aug 30, 2016",66.018
"Sep 15, 2016",62.378
"Sep 15, 2016",62.382
"Oct 1, 2016",61.257
"Oct 1, 2016",61.28
"Oct 17, 2016",55.643
"Oct 17, 2016",55.566
"Nov 2, 2016",75.696
"Nov 2, 2016",75.678
"Nov 18, 2016",88.158
"Nov 18, 2016",88.122
"Dec 4, 2016",41.42
"Dec 4, 2016",41.377
"Dec 20, 2016",61.252
"Dec 20, 2016",61.27
"Jan 5, 2017",160.107
"Jan 5, 2017",160.032
"Jan 21, 2017",0.242
"Jan 21, 2017",0.246
"Feb 6, 2017",4.808
"Feb 6, 2017",4.749
"Feb 22, 2017",62.239
"Feb 22, 2017",62.214
"Mar 10, 2017",0
"Apr 27, 2017",44.625
"Apr 27, 2017",44.619
"May 13, 2017",83.58
"May 13, 2017",83.576
"May 29, 2017",75.518
"May 29, 2017",75.544
"Jun 14, 2017",76.207
"Jun 14, 2017",76.198
"Jun 30, 2017",75.194
"Jun 30, 2017",75.205
"Jul 16, 2017",74.81
"Jul 16, 2017",74.769
"Aug 1, 2017",70.37
"Aug 1, 2017",70.386
"Aug 17, 2017",65.965
"Aug 17, 2017",65.989
"Sep 2, 2017",61.764
"Sep 2, 2017",61.755
"Sep 18, 2017",50.192
"Sep 18, 2017",50.172
"Oct 4, 2017",54.479
"Oct 4, 2017",54.471
"Oct 20, 2017",77.037
"Oct 20, 2017",77.128
"Nov 5, 2017",69.909
"Nov 5, 2017",69.925
"Nov 21, 2017",68.323
"Nov 21, 2017",68.3
"Dec 7, 2017",103.464
"Dec 7, 2017",103.404
"Dec 23, 2017",54.511
"Dec 23, 2017",54.457
"Jan 24, 2018",0
"Jan 24, 2018",0
"Feb 9, 2018",47.951
"Feb 9, 2018",47.951
"Feb 25, 2018",49.125
"Feb 25, 2018",49.095
"Mar 29, 2018",65.737
"Mar 29, 2018",65.739
"Apr 14, 2018",74.768
"Apr 14, 2018",74.751
"Apr 30, 2018",13.412
"Apr 30, 2018",13.433
"May 16, 2018",0.003
"May 16, 2018",0.001
"Jun 1, 2018",76.464
"Jun 1, 2018",76.465
"Jun 17, 2018",66.463
"Jun 17, 2018",66.469
"Jul 3, 2018",72.309
"Jul 3, 2018",72.309
"Jul 19, 2018",69.537
"Jul 19, 2018",69.544
"Aug 4, 2018",65.937
"Aug 4, 2018",65.994
"Aug 20, 2018",61.682
"Aug 20, 2018",61.661
"Sep 5, 2018",58.342
"Sep 5, 2018",58.386
"Sep 21, 2018",55.814
"Sep 21, 2018",55.824
"Oct 7, 2018",55.865
"Oct 7, 2018",55.871
"Oct 23, 2018",39.86
"Oct 23, 2018",39.905
"Nov 8, 2018",65.12
"Nov 8, 2018",65.069
"Nov 24, 2018",21.302
"Nov 24, 2018",21.304
"Dec 10, 2018",87.266
"Dec 10, 2018",87.344
"Dec 26, 2018",117.159
"Dec 26, 2018",117.079
"Jan 27, 2019",84.223
"Jan 27, 2019",84.185
"Feb 12, 2019",0
"Feb 28, 2019",83.601
"Feb 28, 2019",83.641
"Mar 16, 2019",87.561
"Mar 16, 2019",87.539
"Apr 1, 2019",3.101
"Apr 1, 2019",3.095
"Apr 17, 2019",89.96
"Apr 17, 2019",89.956
"May 3, 2019",75.57
"May 3, 2019",75.586
"May 19, 2019",0.122
"May 19, 2019",0.119
"Jun 4, 2019",95.131
"Jun 4, 2019",95.172
"Jun 20, 2019",95.25
"Jun 20, 2019",95.233
"Jul 6, 2019",94.69
"Jul 6, 2019",94.687
"Jul 22, 2019",92.556
"Jul 22, 2019",92.539
"Aug 7, 2019",88.564
"Aug 7, 2019",88.593
"Aug 23, 2019",84.554
"Aug 23, 2019",84.554
"Sep 8, 2019",80.494
"Sep 8, 2019",80.476
"Sep 24, 2019",77.282
"Sep 24, 2019",77.273
"Oct 10, 2019",74.718
"Oct 10, 2019",74.738
"Oct 26, 2019",78.732
"Oct 26, 2019",78.768
"Nov 11, 2019",42.024
"Nov 11, 2019",42.029
"Nov 27, 2019",67.916
"Nov 27, 2019",67.925
"Dec 29, 2019",11.794
"Dec 29, 2019",11.8
"Jan 14, 2020",87.612
"Jan 14, 2020",87.615
"Jan 30, 2020",104.196
"Jan 30, 2020",104.134
"Feb 15, 2020",18.987
"Feb 15, 2020",18.999
"Mar 2, 2020",80.732
"Mar 2, 2020",80.706
"Apr 3, 2020",75.234
"Apr 3, 2020",75.215
"Apr 19, 2020",65.288
"Apr 19, 2020",65.278
"May 5, 2020",75.957
"May 5, 2020",75.968
"May 21, 2020",77.398
"May 21, 2020",77.418
"Jun 6, 2020",68.704
"Jun 6, 2020",68.703
"Jun 22, 2020",74.027
"Jun 22, 2020",74.029
